AirIndia,CBE,MAS,2020-09-17 06:00:00,2020-09-17 16:00:00,COMP MEAL,201,1,4,2400,A
AirAsia,CBE,MAS,2020-09-17 06:30:00,2020-09-17 16:30:00,COMP OFF,205,2,5,2600,E
AirIndia,CBE,MAS,2020-09-17 06:15:00,2020-09-17 16:15:00,COMP UP,206,1,5,2400,B
JetAirways,CBE,MAS,2020-09-17 07:15:00,2020-09-17 17:15:00,PAYTM,207,4,6,2300,A
JetAirways,CBE,MAS,2020-09-17 08:15:00,2020-09-17 18:15:00,PAYTM,208,0,6,2700,A
AirIndia,CBE,MAS,2020-09-17 08:15:00,2020-09-17 16:15:00,COMP UP,209,1,5,2800,C
JetAirways,CBE,MAS,2020-09-17 09:15:00,2020-09-17 17:15:00,PAYTM,210,4,6,3300,D
AirAsia,BLR,MAS,2020-09-18 06:00:00,2020-09-18 06:00:00,FREE CHECKIN,202,2,5,3000,C
SpiceJet,CBE,BLR,2020-09-19 06:00:00,2020-09-19 06:00:00,FREE CHECKIN,203,1,10,2500,B
Indigo,BLR,CBE,2020-09-20 06:00:00,2020-09-20 06:00:00,FREE CHECKIN,204,2,2,3500,D
